PROPERTY,,Groves at Milford,,,,,,,,,,,
ADDRESS,,14 Colonial Road,,,,,,,,,,,
INSPECTOR,,Yuscelino Vargas,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Monday, November 11, 2013",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
58,Heat Detector,Apt 8,Bedrm 2,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-55
59,Heat Detector,Apt 8,Bedrm 2 closet,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-56
60,Heat Detector,2nd fl,By Apt 8,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-57
61,Pull Station,2nd fl,By Apt 8,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-58
62,Heat Detector,Apt 5,Kitchen,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-59
63,Bell,Apt 5,Kitchen,FALSE,FALSE,FALSE,,,Pass,,,,Pass-60
64,Heat Detector,Apt 5,Livin rm,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-61
65,Heat Detector,Apt 5,Bathrm,FALSE,FALSE,FALSE,,2,Fail,Painted.,,,Fail-4
66,Heat Detector,Apt 5,Laundry,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-62
67,Heat Detector,Apt 5, Closet,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-63
68,Heat Detector,Apt 5,Bedrm 1,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-64
69,Heat Detector,Apt 5,Bedrm 1 closet,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-65
70,Heat Detector,Apt 5,Bedrm 2,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-66
71,Heat Detector,Apt 5,Bedrm 2 closet,FALSE,FALSE,FALSE,,2,Pass,,,,Pass-67
72,Smoke Detector,2nd fl,Hallway,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-68
73,Heat Detector,2nd fl,Hallway closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-69
74,Horn Strobe,2nd fl,Hallway,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-70
75,Heat Detector,2nd fl,Hallway closet,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-71
76,Heat Detector,Apt 7,Kitchen,TRUE,FALSE,FALSE,,2,Pass,,,,Pass-72
77,Bell,Apt 7,Kitchen,TRUE,FALSE,FALSE,,,Pass,,,,Pass-73
