PROPERTY,,Keystone Apartments,,,,,,,,,,,
ADDRESS,,151 Hallet Street,,,,,,,,,,,
INSPECTOR,,Nate Donnelly,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Friday, September 26, 2014",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
53,Smoke Detector,4th Floor,Stair 1,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-54
54,Heat Detector,4th Floor,Apartment 404,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-55
55,Horn,4th Floor,Apartment 404,TRUE,FALSE,FALSE,,,Pass,,,,Pass-56
56,Smoke Detector,4th Floor,Hall by 404,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-57
57,Smoke Detector,4th Floor,Hall Between 407 and 406,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-58
58,Heat Detector,4th Floor,Apartment 406,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-59
59,Horn,4th Floor,Apartment 406,TRUE,FALSE,FALSE,,,Pass,,,,Pass-60
60,Heat Detector,4th Floor,Apartment 407,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-61
61,Horn,4th Floor,Apartment 407,TRUE,FALSE,FALSE,,,Pass,,,,Pass-62
62,Horn Strobe,4th Floor,Hall Between 407 and 409,TRUE,FALSE,FALSE,,,Pass,,,,Pass-63
63,Horn Strobe,4th Floor,Hall Between 406 and 408,TRUE,FALSE,FALSE,,,Pass,,,,Pass-64
64,Smoke Detector,4th Floor,Hall Between 408 and 409,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-65
65,Heat Detector,4th Floor,Apartment 408,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-66
66,Horn,4th Floor,Apartment 408,TRUE,FALSE,FALSE,,,Pass,,,,Pass-67
67,Heat Detector,4th Floor,Apartment 409,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-68
68,Horn,4th Floor,Apartment 409,TRUE,FALSE,FALSE,,,Pass,,,,Pass-69
69,Smoke Detector,4th Floor,Hall Between 410 and 411,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-70
70,Horn Strobe,4th Floor,Hall Between 413 and 411,TRUE,FALSE,FALSE,,,Pass,,,,Pass-71
71,Horn Strobe,4th Floor,Hall Between 412 and Storage,TRUE,FALSE,FALSE,,,Pass,,,,Pass-72
72,Heat Detector,4th Floor,Apartment 410,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-73
73,Horn,4th Floor,Apartment 410,TRUE,FALSE,FALSE,,,Pass,,,,Pass-74
74,Heat Detector,4th Floor,Apartment 411,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-75
75,Horn,4th Floor,Apartment 411,TRUE,FALSE,FALSE,,,Pass,,,,Pass-76
76,Smoke Detector,4th Floor,Hall Between 412 and 413,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-77
77,Heat Detector,4th Floor,Apartment 412,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-78
78,Horn,4th Floor,Apartment 412,TRUE,FALSE,FALSE,,,Pass,,,,Pass-79
79,Heat Detector,4th Floor,Apartment 413,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-80
80,Horn,4th Floor,Apartment 413,TRUE,FALSE,FALSE,,,Pass,,,,Pass-81
81,Heat Detector,4th Floor,Apartment 414,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-82
82,Horn Strobe,4th Floor,Apartment 414,TRUE,FALSE,FALSE,,,Pass,,,,Pass-83
83,Smoke Detector,4th Floor,Hall Between 415 and Storage,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-84
84,Heat Detector,4th Floor,Apartment 415,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-85
85,Horn,4th Floor,Apartment 415,TRUE,FALSE,FALSE,,,Pass,,,,Pass-86
86,Heat Detector,4th Floor,Trash Rm Left,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-87
87,Smoke Detector,4th Floor,Electrical Rm Left,TRUE,FALSE,FALSE,D006,,Pass,,,,Pass-88
88,Heat Detector,4th Floor,Electrical Rm Left,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-89
89,Smoke Detector,4th Floor,Hall By 417,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-90
90,Pull Station,4th Floor,Hall By 417,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-91
91,Horn Strobe,4th Floor,Hall By 417,TRUE,FALSE,FALSE,,,Pass,,,,Pass-92
92,Heat Detector,4th Floor,Apartment 417,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-93
93,Horn,4th Floor,Apartment 417,TRUE,FALSE,FALSE,,,Pass,,,,Pass-94
94,Smoke Detector,4th Floor,Elevator Seating Area,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-95
95,Smoke Detector,4th Floor,Between 416 and 419,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-96
96,Horn Strobe,4th Floor,Between 416 and 418,TRUE,FALSE,FALSE,,,Pass,,,,Pass-97
97,Heat Detector,4th Floor,Apartment 416,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-98
98,Horn,4th Floor,Apartment 416,TRUE,FALSE,FALSE,,,Pass,,,,Pass-99
99,Heat Detector,4th Floor,Apartment 419,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-100
100,Horn,4th Floor,Apartment 419,TRUE,FALSE,FALSE,,,Pass,,,,Pass-101
101,Smoke Detector,4th Floor,Hall Between 418 and 421,TRUE,FALSE,FALSE,,,Pass,,,,Pass-102
102,Heat Detector,4th Floor,Apartment 418,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-103
103,Horn,4th Floor,Apartment 418,TRUE,FALSE,FALSE,,,Pass,,,,Pass-104
104,Heat Detector,4th Floor,Apartment 421,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-105
105,Horn,4th Floor,Apartment 421,TRUE,FALSE,FALSE,,,Pass,,,,Pass-106
106,Horn Strobe,4th Floor,Hall Between 421 and 423,TRUE,FALSE,FALSE,,,Pass,,,,Pass-107
107,Heat Detector,4th Floor,Apartment 420,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-108
108,Horn,4th Floor,Apartment 420,TRUE,FALSE,FALSE,,,Pass,,,,Pass-109
109,Heat Detector,4th Floor,Apartment 423,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-110
110,Horn,4th Floor,Apartment 423,TRUE,FALSE,FALSE,,,Pass,,,,Pass-111
111,Smoke Detector,4th Floor,Hall By 425,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-112
112,Heat Detector,4th Floor,Apartment 425,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-113
113,Horn,4th Floor,Apartment 425,TRUE,FALSE,FALSE,,,Pass,,,,Pass-114
114,Horn Strobe,4th Floor,By Laundry Room,TRUE,FALSE,FALSE,,,Pass,,,,Pass-115
115,Heat Detector,4th Floor,Laundry Room,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-116
116,Pull Station,4th Floor,By Stair 2,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-117
117,Smoke Detector,4th Floor,Stair 2,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-118
118,Smoke Detector,4th Floor,Hall By Janitor Closet and Storage Room,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-119
119,Pull Station,4th Floor,Hall By 422 and Stair 3,TRUE,FALSE,FALSE,,,Pass,,,,Pass-120
120,Heat Detector,4th Floor,Apartment 422,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-121
121,Horn,4th Floor,Apartment 422,TRUE,FALSE,FALSE,,,Pass,,,,Pass-122
122,Smoke Detector,4th Floor,Hall By 429,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-123
123,Smoke Detector,4th Floor,Stair 3,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-124
124,Smoke Detector,4th Floor,Hall by 427,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-125
125,Heat Detector,4th Floor,Apartment 427,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-126
126,Horn,4th Floor,Apartment 427,TRUE,FALSE,FALSE,,,Pass,,,,Pass-127
127,Heat Detector,4th Floor,Apartment 424,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-128
128,Horn,4th Floor,Apartment 424,TRUE,FALSE,FALSE,,,Pass,,,,Pass-129
129,Heat Detector,4th Floor,Apartment 429,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-130
130,Horn,4th Floor,Apartment 429,TRUE,FALSE,FALSE,,,Pass,,,,Pass-131
131,Smoke Detector,4th Floor,Hall Between 426 and 431,TRUE,FALSE,FALSE,,,Pass,,,,Pass-132
132,Horn Strobe,4th Floor,Hall Between 429 and 431,TRUE,FALSE,FALSE,,,Pass,,,,Pass-133
133,Heat Detector,4th Floor,Apartment 431,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-134
134,Horn,4th Floor,Apartment 431,TRUE,FALSE,FALSE,,,Pass,,,,Pass-135
135,Heat Detector,4th Floor,Apartment 426,TRUE,FALSE,FALSE,M013,,Pass,,,,Pass-136
136,Horn,4th Floor,Apartment 426,TRUE,FALSE,FALSE,,,Pass,,,,Pass-137
137,Pull Station,4th Floor,Right Hall Fire Doors,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-138
138,Horn Strobe,4th Floor,Right Hall Fire Doors,TRUE,FALSE,FALSE,,,Pass,,,,Pass-139
139,Smoke Detector,4th Floor,Hall between 428 and 433,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-140
140,Horn Strobe,4th Floor,Hall by 433,TRUE,FALSE,FALSE,,,Pass,,,,Pass-141
141,Heat Detector,4th Floor,Apartment 428,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-142
142,Horn,4th Floor,Apartment 428,TRUE,FALSE,FALSE,,,Pass,,,,Pass-143
143,Heat Detector,4th Floor,Apartment 428,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-144
144,Horn,4th Floor,Apartment 428,TRUE,FALSE,FALSE,,,Pass,,,,Pass-145
145,Heat Detector,4th Floor,Apartment 428,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-146
146,Horn,4th Floor,Apartment 428,TRUE,FALSE,FALSE,,,Pass,,,,Pass-147
147,Smoke Detector,4th Floor,Hall by 435,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-148
148,Heat Detector,4th Floor,Apartment 435,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-149
149,Horn Strobe,4th Floor,Apartment 435 Entry,TRUE,FALSE,FALSE,,,Pass,,,,Pass-150
150,Ceiling Strobe,4th Floor,Apartment 435 Bathroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-151
151,Ceiling Horn Strobe,4th Floor,Apartment 435 Bedroom,TRUE,FALSE,FALSE,,,Pass,,,,Pass-152
152,Smoke Detector,4th Floor,Hall by Electrical Room,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-153
